"id","name","email","email_verified_at","password","descripcion","anyo","admin","remember_token","created_at","updated_at"
"11","Reinger, Deckow and Schultz","deckow.ruthe@example.org","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","eos",1978,"","iEpZ2Ar9cG","2021-10-12 15:58:50","2021-10-12 15:58:50"
"12","Kessler Inc","cremin.stella@example.org","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","ipsum",1989,"","4e7Gc3J6aK","2021-10-12 15:58:50","2021-10-12 15:58:50"
"13","Bauch-Lynch","kschamberger@example.org","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","consequatur",1970,"","z1nIr74nap","2021-10-12 15:58:50","2021-10-12 15:58:50"
"14","Reinger, Cassin and Carroll","guido79@example.net","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","veniam",1981,"","qXpdNYZjfg","2021-10-12 15:58:50","2021-10-12 15:58:50"
"15","Deckow, Heidenreich and Sawayn","polly.vonrueden@example.net","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","fugiat",1985,"","ZvrpN1odBd","2021-10-12 15:58:50","2021-10-12 15:58:50"
"16","Cole, Wilderman and Crist","ruthie.jones@example.org","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","hic",1988,"","uAFAX5fOVJ","2021-10-12 15:58:50","2021-10-12 15:58:50"
"17","Boyle-Harris","malvina97@example.net","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","ullam",1978,"","19WiGDKctO","2021-10-12 15:58:50","2021-10-12 15:58:50"
"18","Mraz PLC","langworth.abdul@example.org","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","quis",1997,1,"DPu5Q0BLmK","2021-10-12 15:58:50","2021-10-12 15:58:50"
"19","Parker Inc","kozey.letha@example.org","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","dolores",1976,"","QrXJ8Lf9lT","2021-10-12 15:58:50","2021-10-12 15:58:50"
"20","Renner PLC","rkohler@example.net","2021-10-12 15:58:50","$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi","ut",1986,"","Hov5TNJWda","2021-10-12 15:58:50","2021-10-12 15:58:50"
